--- Slide 14 / Group 50 ---
[1] Name=Hexagon 2 | Type=1 | L=36.5 | T=149.8 | W=164.8 | H=137.4 | Text=
[2] Name=Hexagon 3 | Type=1 | L=178.8 | T=224.4 | W=164.8 | H=137.4 | Text=
[3] Name=Hexagon 4 | Type=1 | L=321.1 | T=149.8 | W=164.8 | H=137.4 | Text=
[4] Name=Hexagon 5 | Type=1 | L=463.4 | T=224.4 | W=164.8 | H=137.4 | Text=
[5] Name=Hexagon 7 | Type=1 | L=603.8 | T=149.8 | W=164.8 | H=137.4 | Text=
[6] Name=Hexagon 8 | Type=1 | L=746.2 | T=224.4 | W=164.8 | H=137.4 | Text=
[7] Name=iconfont-11143-5258352 | Type=5 | L=103.7 | T=176.4 | W=45.3 | H=48.0 | Text=
[8] Name=TextBox 23 | Type=17 | L=359.4 | T=248.3 | W=91.2 | H=29.1 | Text=招标阶段
[9] Name=TextBox 24 | Type=17 | L=216.6 | T=322.1 | W=91.2 | H=29.1 | Text=设计阶段
[10] Name=TextBox 25 | Type=17 | L=500.3 | T=325.8 | W=91.2 | H=29.1 | Text=施工阶段
[11] Name=TextBox 26 | Type=17 | L=75.3 | T=248.3 | W=91.2 | H=29.1 | Text=决策阶段
[12] Name=TextBox 27 | Type=17 | L=643.4 | T=246.6 | W=91.2 | H=29.1 | Text=竣工阶段
[13] Name=TextBox 28 | Type=17 | L=783.0 | T=322.0 | W=91.2 | H=29.1 | Text=运维阶段
[14] Name=logo-design_154997 | Type=5 | L=238.2 | T=251.5 | W=48.0 | H=48.0 | Text=
[15] Name=amusement-park_98111 | Type=5 | L=381.5 | T=173.4 | W=48.0 | H=47.4 | Text=
[16] Name=settings_126314 | Type=5 | L=518.6 | T=254.0 | W=54.9 | H=43.6 | Text=
[17] Name=task-complete_66276 | Type=5 | L=668.7 | T=172.4 | W=46.0 | H=48.0 | Text=
[18] Name=iconfont-11573-5485624 | Type=5 | L=804.6 | T=251.5 | W=48.0 | H=48.0 | Text=
[19] Name=TextBox 44 | Type=17 | L=55.4 | T=295.4 | W=145.5 | H=138.1 | Text=项目建议书 可行性研究报告 资金申请报告 运营策划 评估报告 投资匡算/估算
[20] Name=TextBox 45 | Type=17 | L=205.9 | T=366.9 | W=145.5 | H=116.3 | Text=初步设计 施工图设计 设计审查 设计概算 施工图预算
[21] Name=TextBox 46 | Type=17 | L=351.3 | T=295.1 | W=145.5 | H=72.7 | Text=招投标策划 控制价编制 开标招标
[22] Name=TextBox 47 | Type=17 | L=490.9 | T=364.5 | W=137.4 | H=159.9 | Text=质量控制 进度控制 投资控制 风险管理 合同管理 信息管理 组织协调
[23] Name=TextBox 48 | Type=17 | L=629.9 | T=292.2 | W=145.5 | H=138.1 | Text=竣工管理 竣工图编制 验收报告 档案资料 保修期管理 竣工结算、决算
