canonicalId,name,description,module,path,install_to_bmad
"bmad-advanced-elicitation","bmad-advanced-elicitation","推动 LLM 重新审视、细化并改进最近一次输出。","core","_bmad/core/skills/bmad-advanced-elicitation/SKILL.md","true"
"bmad-brainstorming","bmad-brainstorming","通过多种创意方法引导你开展头脑风暴，帮助你更快打开思路、扩展方向。适用于用户说“帮我头脑风暴”或“帮我发想创意”时。","core","_bmad/core/skills/bmad-brainstorming/SKILL.md","true"
"bmad-distillator","bmad-distillator","对源文档进行无损、适合 LLM 的压缩蒸馏。适用于用户请求“蒸馏文档”或“创建蒸馏版”时。","core","_bmad/core/skills/bmad-distillator/SKILL.md","true"
"bmad-editorial-review-prose","bmad-editorial-review-prose","像资深编辑一样审查文本中的表达与沟通问题。适用于用户要求润色文稿或改进 prose 时。","core","_bmad/core/skills/bmad-editorial-review-prose/SKILL.md","true"
"bmad-editorial-review-structure","bmad-editorial-review-structure","在保留可理解性的前提下，提出删减、重组与简化建议。适用于用户请求结构审校或文档结构优化时。","core","_bmad/core/skills/bmad-editorial-review-structure/SKILL.md","true"
"bmad-help","bmad-help","结合当前状态和你的问题，帮你判断下一步该走哪个工作流，或直接解答 BMad 相关疑问。适用于用户说“我下一步该做什么”“现在该怎么办”或直接询问 BMad 方法时。","core","_bmad/core/skills/bmad-help/SKILL.md","true"
"bmad-index-docs","bmad-index-docs","生成或更新 index.md，帮你快速梳理指定目录下有哪些文档可用。适用于用户要求为指定文件夹创建或更新文档索引时。","core","_bmad/core/skills/bmad-index-docs/SKILL.md","true"
"bmad-party-mode","bmad-party-mode","组织多个已安装的 BMAD 智能体一起讨论，让不同角色并行给出观点和建议。适用于用户请求进入 party mode 时。","core","_bmad/core/skills/bmad-party-mode/SKILL.md","true"
"bmad-review-adversarial-general","bmad-review-adversarial-general","用挑刺视角做一轮严格审查，并输出问题报告。适用于用户希望在正式交付前尽可能暴露风险时。","core","_bmad/core/skills/bmad-review-adversarial-general/SKILL.md","true"
"bmad-review-edge-case-hunter","bmad-review-edge-case-hunter","逐条检查分支路径和边界条件，只报告真正未处理的边界情况。适用于需要对代码、规范或 diff 做穷尽式边界分析时。","core","_bmad/core/skills/bmad-review-edge-case-hunter/SKILL.md","true"
"bmad-shard-doc","bmad-shard-doc","根据二级标题（默认）将大型 Markdown 文档拆成更小、结构更清晰的文件。适用于用户说要执行 shard document 时。","core","_bmad/core/skills/bmad-shard-doc/SKILL.md","true"
"bmad-create-prd","bmad-create-prd","从零创建 PRD。适用于用户说“我们来创建产品需求文档”或“我想创建一个新的 PRD”时。","core","_bmad/core/tasks/bmad-create-prd/SKILL.md","true"
"bmad-create-product-brief","bmad-create-product-brief","通过协作式探索创建产品简报。适用于用户说“我们来创建产品简报”或“帮我创建项目简报”时。","bmm","_bmad/bmm/workflows/1-analysis/bmad-create-product-brief/SKILL.md","true"
"bmad-product-brief-preview","bmad-product-brief-preview","通过引导式或自主式探索创建或更新产品简报。适用于用户请求“创建产品简报”“帮我创建项目简报”或“更新我的产品简报”时。","bmm","_bmad/bmm/workflows/1-analysis/bmad-product-brief-preview/SKILL.md","true"
"bmad-domain-research","bmad-domain-research","开展领域与行业研究。适用于用户说“为某个领域或行业创建研究报告”时。","bmm","_bmad/bmm/workflows/1-analysis/research/bmad-domain-research/SKILL.md","true"
"bmad-market-research","bmad-market-research","开展市场调研，分析竞争对手和客户。适用于用户说“为某个商业创意创建市场研究报告”时。","bmm","_bmad/bmm/workflows/1-analysis/research/bmad-market-research/SKILL.md","true"
"bmad-technical-research","bmad-technical-research","开展技术与架构研究。适用于用户说“为某个主题创建技术研究报告”时。","bmm","_bmad/bmm/workflows/1-analysis/research/bmad-technical-research/SKILL.md","true"
"bmad-create-ux-design","bmad-create-ux-design","规划 UX 模式与设计规范。适用于用户说“我们来做 UX 设计”“创建 UX 规范”或“帮我规划 UX”时。","bmm","_bmad/bmm/workflows/2-plan-workflows/bmad-create-ux-design/SKILL.md","true"
"bmad-edit-prd","bmad-edit-prd","编辑现有 PRD。适用于用户说“编辑这个 PRD”时。","bmm","_bmad/bmm/workflows/2-plan-workflows/bmad-edit-prd/SKILL.md","true"
"bmad-validate-prd","bmad-validate-prd","根据标准验证 PRD。适用于用户说“验证这个 PRD”或“执行 PRD 校验”时。","bmm","_bmad/bmm/workflows/2-plan-workflows/bmad-validate-prd/SKILL.md","true"
"bmad-check-implementation-readiness","bmad-check-implementation-readiness","检查 PRD、UX、架构与 Epic 规范是否齐备，能否顺利进入实施。适用于用户说“检查实现就绪度”时。","bmm","_bmad/bmm/workflows/3-solutioning/bmad-check-implementation-readiness/SKILL.md","true"
"bmad-create-architecture","bmad-create-architecture","围绕 AI 智能体协作场景产出架构方案与关键设计决策。适用于用户说“我们来做架构”“创建技术架构”或“创建解决方案设计”时。","bmm","_bmad/bmm/workflows/3-solutioning/bmad-create-architecture/SKILL.md","true"
"bmad-create-epics-and-stories","bmad-create-epics-and-stories","把需求拆解成 Epic 与用户故事。适用于用户说“创建 Epic 和 Stories 列表”时。","bmm","_bmad/bmm/workflows/3-solutioning/bmad-create-epics-and-stories/SKILL.md","true"
"bmad-code-review","bmad-code-review","使用并行审查层（Blind Hunter、Edge Case Hunter、Acceptance Auditor）开展对抗式代码审查，并用结构化方式归类问题。适用于用户说“执行代码审查”或“帮我审这段代码”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-code-review/SKILL.md","true"
"bmad-correct-course","bmad-correct-course","在 Sprint 执行过程中处理重大变更与偏航。适用于用户说“纠偏”“提出 Sprint 变更建议”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-correct-course/SKILL.md","true"
"bmad-create-story","bmad-create-story","创建一个独立的 Story 文件，补齐后续实现所需的全部上下文。适用于用户说“创建下一个 Story”或“创建 Story [story identifier]”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-create-story/SKILL.md","true"
"bmad-dev-story","bmad-dev-story","依据上下文完整的 Story 规范文件推进开发实现。适用于用户说“开发这个 Story [story file]”或“实现 Sprint 计划中的下一个 Story”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-dev-story/SKILL.md","true"
"bmad-retrospective","bmad-retrospective","在 Epic 完成后组织复盘，提炼经验并评估成效。适用于用户说“做一次复盘”或“复盘这个 Epic”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-retrospective/SKILL.md","true"
